,sku,nombre_del_producto,marca,categoria,subcategoria,precio_de_lista,mas_bajo,mas_alto,precio_mercado
60,12465594,ONE Adulto Mini Peq Carne 6x2kg AR  2 Kg,purina one,perro,seco,12690,8990,12060,10847
61,12465597,ONE Adulto Mini Peq Cordero 6kg AR  6 Kg,purina one,perro,seco,33990,26990,34650,30877
62,12465596,ONE Adulto Mini Peq Cordero 6x2kg AR  2 Kg,purina one,perro,,13290,9990,12950,11813
63,12465589,ONE Cachorro 12kg AR  12 Kg,purina one,perro,seco,49990,40990,48870,44138
64,12465593,ONE Cachorro 6kg AR  6 Kg,purina one,perro,,32890,26990,32220,29185
65,12465613,ONE Cachorro 6x2kg AR  2 Kg,purina one,perro,,12690,9990,11700,11063
66,12466110,ONE Esterilizado Salmon 6kg AR  6 kg,purina one,perro,,45490,29990,43380,39006
67,12466089,ONE Esterilizado Salmon 6x2kg AR  2 kg,purina one,perro,,18290,14990,17990,16545
68,12466092,ONE Gatito 6x2kg AR  2 kg,purina one,gato,seco,18290,15741,20100,17277
69,12466084,ONE Gato Carne 6kg AR  6 kg,purina one,perro,,45490,38151,48700,43340
70,12466083,ONE Gato Carne 6x2kg AR  2 kg,purina one,perro,,18290,14990,18090,16703
71,12466087,ONE Gato Salmon 6kg AR  6 kg,purina one,gato,seco,45490,37990,46710,41734
72,12466086,ONE Gato Salmon 6x2kg AR  2 kg,purina one,gato,seco,18290,14990,17460,16295
73,12468816,ONE Gatos Adt y Estlz Super Ntr  85 gr,purina one,gato,,1250,1200,2000,1600
74,12468803,ONE Gatos Adt y Estlz Superfoods  85 gr,purina one,gato,,1250,2000,2000,2000
75,12468817,ONE Gatos Adt y Gtts Multi Protein  85 gr,purina one,gato,,1250,1200,2000,1600
76,12333535,"TIDY CAT SCOOP LWT  2,72kg",tidy cats,gato,arenas,15990,12990,22390,15084
77,12426941,"TIDY CATS 24/7 PERFORMANCE 9.07kg XI  9,07kg",tidy cats,gato,arenas,14990,11990,14240,13450
78,12426919,"TIDY CATS 24/7PERF Cnv 4x4,54kg XI  4,54kg",tidy cats,gato,arenas,8490,6650,14580,8680
79,12426936,"TIDY CATS INSTANT ACTION Scp 3x6.35kg XI  6,35kg",tidy cats,gato,arenas,14990,8990,20990,13255
80,12364417,Alimento húmedo para gato PRO PLAN® Dietas Veterinarias NF Advanced Care 156g,pro plan veterinary diets,gato,húmedo,3300,3300,3990,3669
81,12481681,Alimento húmedo para perro PROPLAN® Dietas Veterinarias NF Enfermedad Renal 368g,pro plan veterinary diets,perro,húmedo,4100,3490,8900,4611
82,12367348,Alimento húmedo perro y gato PROPLAN® Dieta Veterinaria CN NutriciónCrítica 156g,pro plan veterinary diets,gato,húmedo,4100,3040,6990,4351
83,12473458,Alimento húmedo terapeutico para gato PRO PLAN® Dietas Veterinarias EN Gastroentérico 156g,pro plan veterinary diets,gato,húmedo,3300,3300,4100,3658
84,12481683,Alimento húmedo terapeutico para perro PRO PLAN® Dietas Veterinarias EN Gastroentérico 368g,pro plan veterinary diets,perro,húmedo,4100,2850,4580,4045
85,12453104,alimento para perro pro plan active mind raza medianos y grandes en bolsa de 3kg,pro plan,gato,,29990,20190,31290,26638
86,12453289,alimento para perro pro plan sensitive skin razas medianas y grandes en bolsa de 3kg,pro plan,perro,,29990,23990,34990,27818
87,12329397,Alimento seco para perro EXCELLENT® Adultos Razas Medianas y Grandes 15kg,excellent,perro,seco,59990,42750,66990,50652
88,12329396,Alimento seco para perro EXCELLENT® Cachorros Razas Medianas y Grandes 15kg,excellent,perro,seco,66490,38815,71990,50791
89,12453293,Alimento seco para perro PRO PLAN® Adulto +7 Raza Mediana y Grande 15kg,pro plan,perro,seco,94990,63375,96990,75484
90,12453311,Alimento seco para perro PRO PLAN® Adulto Raza Grande 15kg,pro plan,perro,seco,86990,62400,89990,69631
91,12453312,Alimento seco para perro PRO PLAN® Adulto Rz Mediana/Grande Reduced Calorie 15kg,pro plan,perro,seco,89990,57639,92990,73446
92,12453316,Alimento seco para perro PRO PLAN® Adulto Rz Mediana/Grande Sensitive Skin 15kg,pro plan,perro,seco,91990,59490,93990,73501
93,12453294,Alimento seco para perro PRO PLAN® Cachorro Raza Grande 15kg,pro plan,perro,seco,89990,64290,83990,73060
94,12483583,Alimento seco terapeutico para gato PRO PLAN® Dietas Veterinarias HA Hipoalergénico 3kg,pro plan veterinary diets,gato,seco,40500,33500,42490,37693
95,12469315,"Alimento seco terapeutico para perro PRO PLAN® Dietas Veterinarias HA Hipoalergénico 7,5 kg",pro plan veterinary diets,perro,seco,59990,33360,59990,48498
96,12482400,CAT CHOW Adultos Carne 85 gr,cat chow,gato,,1020,799,1290,1008
97,12482394,CAT CHOW Adultos Pescado 85 gr,cat chow,gato,,1020,799,1290,1035
98,12482399,CAT CHOW Adultos Pollo  85 gr,cat chow,gato,,1020,799,1290,1044
99,12482395,CAT CHOW Esterilizados Carne 85 gr,cat chow,gato,,1020,739,1290,966
100,12482401,CAT CHOW Esterilizados Pescado 85 gr,cat chow,gato,,1020,799,1290,965
101,12482410,CAT CHOW Gatitos Pollo 85 gr,cat chow,gato,,1020,739,1290,980
102,12409089,DCHOWAdltMinisYPeqc/MixDePolYPa 100 gr,dog chow,gato,,860,720,891,798
103,12409090,DOG CHOW Adlt MinisYPeq c/Smn 100 gr,dog chow,perro,,860,720,801,770
104,12409091,DOG CHOW AdltMinis YPeq c/Car  100 gr,dog chow,perro,,860,790,810,800
105,12500998,DOG CHOW AdtMnPqn Car&Pll SinCol  3 kg,dog chow,perro,,12990,10350,11600,10975
106,12409080,DOGCHOW Adlt TdTm 100 gr,dog chow,perro,,860,500,810,655
107,12409085,DOGCHOW Adlt TdTm c/ Carne 100 gr,dog chow,perro,,860,790,1190,990
108,12409082,DOGCHOW Adlt TdTm c/ Cord 100 gr,dog chow,perro,,860,632,1190,845
109,12409086,DOGCHOW Adlt TdTm c/ Pavo 100 gr,dog chow,perro,,860,720,990,823
110,12409084,DOGCHOW CachorroTdTm c/ Car 100 gr,dog chow,perro,,860,621,792,734
111,12409081,DOGCHOW CachorroTdTm c/ Pollo 100 gr,dog chow,perro,,860,801,1190,994
112,12381389,EXCELLENT Adt Dog Formula 15kgCL 15kg,excellent,perro,seco,49990,30990,54990,39973
113,12452607,EXCELLENT Adt Dog Smn Skin Care 15kg,excellent,perro,seco,66490,42490,71990,52386
114,12526301,fancy feast goulash tuna 15x85g n1 xi,fancy feast,gato,,1250,810,810,810
